Page,Impressions,Clicks,CTR,Position
https://russellcomfort.com/,1842,156,8.5%,4.2
https://russellcomfort.com/services/heat-pump-installation,892,67,7.5%,6.1
https://russellcomfort.com/services/ac-repair,734,52,7.1%,5.8
https://russellcomfort.com/services/furnace-repair,681,48,7.0%,7.2
https://russellcomfort.com/services/furnace-installation,523,34,6.5%,8.4
https://russellcomfort.com/services/ac-installation,498,31,6.2%,9.1
https://russellcomfort.com/service-areas/denver,412,28,6.8%,5.3
https://russellcomfort.com/service-areas/wheat-ridge,234,18,7.7%,6.7
https://russellcomfort.com/service-areas/arvada,198,14,7.1%,7.8
https://russellcomfort.com/service-areas/lakewood,176,12,6.8%,8.2
https://russellcomfort.com/service-areas/golden,145,9,6.2%,9.4
https://russellcomfort.com/service-areas/thornton,132,8,6.1%,10.1
https://russellcomfort.com/blog/heat-pump-vs-furnace,89,6,6.7%,12.3
https://russellcomfort.com/about,67,4,6.0%,11.5
https://russellcomfort.com/contact,54,3,5.6%,14.2
